,Comments
2173,"Indeed,  here in Italy we respect the rules dictated by our government,  except the no vax.  Masks,  hand sanitizer,  social distancing,  vaccination, green pass.  Till now it works. Let&#39;s see what the winter brings. I personally will fly to a tropical island for the next six months. Wish all my Italian citizens merry Christmas and a pleasant winter. I prefer to eat ice-cream for Christmas day and panettone!!!  <br>🌴🌴🌴🌴🌴🍉🍉🍉🍌🍍🥥🥑🍾🌏🏖🏝🌅⛵🌞☀🌞🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹🇮🇹❤❤❤❤❤"
2174,"I am indeed grateful to the Managing Director of the IMF Mrs. kristalina Georgieva,for the $100,000 Grant they gave to me and my family.May God continue to bless the IMF and World Bank,As they Empower Citizens of countries Affected by the Covid_19 pandemic,though their SME Loan and Grant Initiative"
2175,Good... Italian fully aware of covid
2176,"one guy asked me, how do I know what the vaccine will do to me in 10  years?  <br>My reply: how do we know what a Chinese made bioweapon will do to you in 10 years?"
2177,What they don&#39;t tell you is that a lot of people are very afraid and wear masks out in the streets and that is maybe why things aren&#39;t so bad. Maybe.
2178,&quot;For the sake of His sorrowful Passion have mercy on us and on the whole world.&quot;
2179,What about the side effects? It isn&#39;t normally aired and is buried to cover up the uncomfortable truth..
2180,"They taught you, but you don&#39;t learn!"
2181,Bravo..grazie...unvaccinated safe
2182,How could anybody catch the virus skiing on a mountain. 🤷‍♂️🤦‍♂️🤦‍♂️
2183,"Italians, mostly Roman Catholic, respect human life."
2184,At least they recognize natural immunity. Why can&#39;t America??
2185,"Well, then lets all go to this wonderful covid free country!"
2186,&#39;What can somewhere teach us&#39; videos are funny.  Normally a week or so after media release these you suddenly find that places that are meant to teach us are actually doing badly.
2187,Ítaly teach us that that a Strong people can not be harrassed by a tiranical government
2188,It is very fanny when you can “ see” more then ordinary people. I can not stop to be sad and to laugh sometimes to human beings.
2189,"What we learn here, individual rights is more important then human rights. Individual have the right to spread covid19."
2190,I wish all students will success in their half yearly and board exam ❤️🙏❤
2191,&quot;Maybe that is a question you should ask Chy-na.&quot; DJT
2192,Cases in Italy have rised from 3000 to over 17000 so it&#39;s not looking amazing in Italy. Why doesn&#39;t dw look at Canada where cases are actually not rising to learn from what Canada did right.
2193,"Just about a week ago DW was praising Portugal as the Covid role-model, so don&#39;t go rushing to give yourself a pat on the back."
2194,"When Germany follows the Italian model, it&#39;s never a good sign. I start worrying now 😳"
2195,I can sense goosestepping...
2196,Lessons ? None. Or maybe what we can learn from them is HOW NOT TO face an unknow pandemic threat. Never ever downplay a virus threat as they did last year.
2197,Don&#39;t be a population of 90 yr olds in one of the biggest tourist hubs in the world...
2198,Time to send Germanicus to teach Germania a lesson again.
2199,Definitely wouldn’t want to test the vaccinated!
2200,My kids they had covid but they are the same kicking like tornado.😂
2201,What can you learn from China zero tolerance policy with strict sop and vaccination.???
2202,&quot;Mankind will not have peace until it turns with trust to My mercy.&quot;
2203,"Too early! Last year you said the same about how wonderful Italy was doing in the beginning of Winter 2020, 2 weeks later there was a massive wave.<br><br>Caution! Before jumping into conclusions."
2204,Well italy is euro 2020 champions....what we can learn from that football event??
2205,"It should be: what can CHINA teach you about dealing with COVID19, maybe learn to lockdown like China?"
2206,If you tell an ignorant person that there are one thousand  stars in the sky he will believe it. But if you tell him the seat next to him is just painted he will touch it.
2207,"With all the restrictions and vax, the death rate was high...."
2208,Not all northern Italy only lombardy
2209,Don’t cry victory very soon!!! Vaccination is very very imperfect. With omicron we have to start everything all over again
2210,At least they recognize natural immunity. Why can&#39;t America????
2211,What can we learn from Italy? How to make the perfect pizza.
2212,"&quot;On public transport, only those vaccinated... are allowed on board&quot;. Completely false. Everyone is allowed to take public transportation. The ban is only in long-distance trains. Be more accurate if you want to inform people, thanks."
2213,Italy success
2214,What can we learn from them? That they were defeated by the system. This is only the beginning.
2215,"I do not know of we can teach a lesson, it&#39;s too difficoult to say,  but the majority of us is really trying very  hard! <br>Nowadays,  the secret of happiness, Is protecting  yourself and OTHERS  from COVID 19 <br> Be safe!"
2216,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
2217,"If Omicron is infectious but not “debilitating” or “deadly,” is this a way out of the pandemic as millions get infected and build up a natural immune response?"
2218,"DW, up-to-date information given in a calm, responsible manner. <br>Much appreciated. Viewer in Brazil."
2219,"Excellent, calm factual report. Thank you."
2220,"Very contagious but I don’t have any symptoms besides a slight  cough for a couple days. My symptoms where so slight I doubted myself going for a covid test which came out positive. My mom had the delta wave earlier this year she was very very sick, she was in bed for 3 weeks. With this new wave is South Africa she was only in bed for 3 days. I do believe that omicron is better than delta."
2221,This is why I like DW... nowhere else has reported on the potential of Omicron being a welcomed development. 🤞🤞
2222,I have this strain as we speak! And I’m pregnant with a weak immune system. It was terrible for 2 days for me now it’s just lingering weird taste in my mouth. This strain doesn’t cause respiratory problems like the others you cough yes but breathing is usually fine! We have been okay with this strain so far! The doctors aren’t worried at all they didn’t even wear gloves when treating me or wear gowns when coming in and out of my room when I went to the hospital. The doctor said it’s not a dangerous strain highly contagious but not dangerous
